OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CBERS 4,2014-079A,2026-05-20T15:27:44.818272,14.35500685,.0002104,98.3542,198.3371,95.6113,264.5313,0,U,40336,999,60000,.5742672E-4,.123E-5,0
YAOGAN-26,2014-088A,2026-05-20T15:19:26.266944,15.46143427,.00062104,97.0649,141.5173,128.5254,231.6554,0,U,40362,999,63344,.21679614E-3,.1055E-3,0
SMAP,2015-003A,2026-05-20T14:13:04.006272,14.63411324,.00011864,98.1282,148.0782,71.1668,288.9663,0,U,40376,999,60358,.53544643E-4,.23E-5,0
KOMPSAT-3A,2015-014A,2026-05-20T14:32:04.888896,15.52657893,.00549093,97.6892,129.9808,277.4410,82.0605,0,U,40536,999,61753,.27564581E-3,.18012E-3,0
SENTINEL-2A,2015-028A,2026-05-20T14:12:55.641888,14.30816406,.00011681,98.5684,215.8342,83.6967,276.4349,0,U,40697,999,56978,.2087024E-3,.503E-5,0
GAOFEN-8,2015-030A,2026-05-20T15:12:49.748832,15.44878516,.00075936,97.6916,332.3721,296.1432,63.9034,0,U,40701,999,60719,.37370495E-3,.17485E-3,0
CARBONITE 1 (CBNT-1),2015-032D,2026-05-20T15:55:57.878112,14.83493542,.00152735,97.6498,319.8865,30.4656,329.7442,0,U,40718,999,58526,.19155406E-3,.1527E-4,0
YAOGAN-27,2015-040A,2026-05-20T14:02:27.095712,13.16066755,.00074813,100.1146,128.1677,280.1130,79.9140,0,U,40878,999,51403,-.12212521E-2,-.506E-5,0
GAOFEN-9 01,2015-047A,2026-05-20T14:21:55.609056,14.82825813,.00261895,97.6294,177.5448,228.3880,131.5091,0,U,40894,999,57610,.72179828E-4,.536E-5,0
YAOGAN-28,2015-064A,2026-05-20T16:09:17.593920,15.27025533,.00091883,97.3044,279.5093,290.3047,69.7205,0,U,41026,999,58648,.18045791E-3,.4718E-4,0
YAOGAN-29,2015-069A,2026-05-20T15:36:51.820992,14.83061776,.00030022,98.0039,169.2387,99.7637,260.3916,0,U,41038,999,56654,.10233357E-3,.779E-5,0
KENT RIDGE 1,2015-077B,2026-05-20T06:21:16.913376,15.22941594,.0008391,14.9791,113.6087,205.4948,154.4961,0,U,41167,999,57683,.8403E-4,.2792E-4,0
GAOFEN-4,2015-083A,2026-05-20T14:44:11.619168,1.00268985,.00025295,0.3572,83.0809,133.6037,348.3439,0,U,41194,999,3825,0,-.34E-5,0
JASON-3,2016-002A,2026-05-20T14:02:38.550624,12.87627293,.00084725,66.0400,183.8663,273.6981,86.3069,0,U,41240,999,48369,.63153998E-4,-.46E-6,0
SENTINEL-3A,2016-011A,2026-05-20T14:02:58.253280,14.26737574,.00011644,98.6257,208.3635,108.0492,252.0815,0,U,41335,999,53412,.43723687E-4,.62E-6,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-05-20T02:30:02.509344,15.21500562,.00132188,97.3835,216.4170,40.0419,320.1789,0,U,41556,999,55371,.17528029E-3,.3883E-4,0
CARTOSAT-2C,2016-040A,2026-05-20T14:17:25.705824,15.19243908,.00086969,97.4489,200.9491,223.7899,136.2647,0,U,41599,999,54952,.22502505E-3,.4678E-4,0
SKYSAT-C1,2016-040C,2026-05-20T12:42:50.772384,15.35780390,.0004407,96.9580,173.7565,112.6118,247.5594,0,U,41601,999,55362,.18618429E-3,.6408E-4,0
LAPAN-A3,2016-040E,2026-05-20T15:29:49.371648,15.32911585,.00121856,97.1490,137.7020,110.8233,249.4316,0,U,41603,999,55059,.69099003E-4,.2126E-4,0
GAOFEN-3,2016-049A,2026-05-20T14:38:44.698848,14.42211144,.00009543,98.4014,148.8127,86.7973,273.3326,0,U,41727,999,51467,.3823413E-5,-.31E-6,0
SKYSAT-C4,2016-058B,2026-05-20T00:30:04.092480,15.47630324,.00024082,96.9189,162.9896,68.6262,291.5246,0,U,41771,999,54111,.25027342E-3,.12833E-3,0
SKYSAT-C5,2016-058C,2026-05-20T09:14:27.434400,15.34025939,.00041331,97.0487,182.2715,57.8112,302.3532,0,U,41772,999,53948,.16699678E-3,.5424E-4,0
SKYSAT-C2,2016-058D,2026-05-20T00:36:53.461728,15.41369092,.00048,97.0182,163.1931,130.8880,229.2784,0,U,41773,999,54071,.21634935E-3,.8954E-4,0
SKYSAT-C3,2016-058E,2026-05-20T13:06:21.279168,15.51277467,.00027945,96.9038,172.4772,85.9121,274.2452,0,U,41774,999,54182,.27825642E-3,.16238E-3,0
ALSAT-1B,2016-059C,2026-05-20T13:53:36.218688,14.72249883,.0008336,97.7754,150.5346,323.7987,36.2656,0,U,41785,999,51651,.3503E-7,-.47E-6,0
PATHFINDER 1,2016-059E,2026-05-20T10:57:16.313184,14.67626261,.00270755,97.8170,140.9851,296.1697,63.6724,0,U,41787,999,51564,.67055702E-4,.336E-5,0
SCATSAT 1,2016-059H,2026-05-20T10:00:06.217632,14.79460540,.00540485,98.1205,203.8955,339.0061,20.8931,0,U,41790,999,9748,.92042129E-4,.646E-5,0
GOKTURK 1A,2016-073A,2026-05-20T16:17:21.574752,14.62751517,.00014645,98.1279,35.7806,82.4226,277.7142,0,U,41875,999,50480,.48785956E-4,.202E-5,0
RESOURCESAT-2A,2016-074A,2026-05-20T14:55:12.694944,14.21607379,.00028766,98.7527,214.3499,136.4126,223.7279,0,U,41877,999,49038,.18055231E-3,.352E-5,0
CARTOSAT-2D,2017-008A,2026-05-20T15:04:11.614944,15.19268297,.00041005,97.4118,200.4444,352.6223,7.4950,0,U,41948,999,51339,.31717284E-3,.6623E-4,0
